sgRNA	Gene	R0_1	R0_2	R0_3	Rpost_1	Rpost_2	Rpost_3	Rpost_4	S0_1	S0_2	S0_3	Spost_1	Spost_2	Spost_3
sgGK2_8	GK2	0	0	3987	0	0	0	0	0	0	0	0	0	1
sgNDUFAF2_5	NDUFAF2	0	0	879	0	1	0	0	0	0	0	0	0	1
sgSLC25A30_1	SLC25A30	0	0	1950	0	0	0	0	0	0	0	0	0	2
sgSCD_10	SCD	0	0	895	0	0	0	0	0	3941	0	0	0	0
sgGALNT14_9	GALNT14	0	0	4043	0	0	1	0	0	0	0	0	1	0
sgCLIC6_3	CLIC6	0	0	3144	0	0	0	0	0	0	0	0	0	0
sgPCBD2_2	PCBD2	0	0	281	0	0	571	0	0	0	0	0	0	0
sgAMY2A_7	AMY2A	0	0	3292	0	0	1	0	0	0	0	0	0	0
sgATP5G1_5	ATP5G1	0	0	154	0	0	0	0	0	0	0	0	0	0
sgFAAH_6	FAAH	0	0	49	0	0	0	0	0	0	0	0	0	0
sgSLC12A5_3	SLC12A5	0	0	3616	0	0	0	0	0	0	0	0	0	0
sgUPB1_8	UPB1	0	0	6648	0	0	2	0	0	0	0	0	0	3
